GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hyper,br.com.dreerd.bank.hyper.model.common,BaseModel,10,13,0,0,2,5,2,2,2,2
Hyper,br.com.dreerd.bank.hyper.entity.common,BaseEntity,26,36,4,2,5,9,6,4,3,4
Hyper,br.com.dreerd.bank.hyper.controller,DocumentController,0,8,0,0,0,3,0,2,0,2
Hyper,br.com.dreerd.bank.hyper.controller,PersonController,0,8,0,0,0,3,0,2,0,2
Hyper,br.com.dreerd.bank.hyper.controller,ContactController,0,8,0,0,0,3,0,2,0,2
Hyper,br.com.dreerd.bank.hyper.controller,AddressController,0,8,0,0,0,3,0,2,0,2
Hyper,br.com.dreerd.bank.hyper.controller,AccountController,6,104,0,0,2,35,0,7,0,7
Hyper,br.com.dreerd.bank.hyper.service,ContactServiceImpl,6,106,0,4,0,28,1,9,1,7
Hyper,br.com.dreerd.bank.hyper.service,AccountServiceImpl,12,142,0,4,0,35,2,11,2,9
Hyper,br.com.dreerd.bank.hyper.service,PersonServiceImpl,6,103,0,4,0,27,1,9,1,7
Hyper,br.com.dreerd.bank.hyper.service,AccountTransitionServiceImpl,8,327,0,8,2,79,2,18,2,14
Hyper,br.com.dreerd.bank.hyper.service,DocumentServiceImpl,6,104,0,4,0,27,1,9,1,7
Hyper,br.com.dreerd.bank.hyper.service,AddressServiceImpl,6,103,0,4,0,27,1,9,1,7
Hyper,br.com.dreerd.bank.hyper.enums,ContactType,0,15,0,0,0,3,0,1,0,1
Hyper,br.com.dreerd.bank.hyper.enums,StatusType,0,52,0,0,0,7,0,4,0,4
Hyper,br.com.dreerd.bank.hyper.enums,DocumentType,1,47,1,1,0,10,1,3,0,3
Hyper,br.com.dreerd.bank.hyper.enums,TransitionType,3,32,0,0,1,4,1,2,1,2
Hyper,br.com.dreerd.bank.hyper.enums,ErrorType,0,35,0,0,0,6,0,3,0,3
Hyper,br.com.dreerd.bank.hyper.enums,AddressType,3,25,0,0,1,3,1,2,1,2
Hyper,br.com.dreerd.bank.hyper.controller.common,BaseController,0,91,0,2,0,24,0,8,0,7
Hyper,br.com.dreerd.bank.hyper.entity,Account.AccountBuilder,21,56,0,0,0,1,1,9,1,9
Hyper,br.com.dreerd.bank.hyper.entity,Document,184,161,49,9,1,15,33,16,4,16
Hyper,br.com.dreerd.bank.hyper.entity,Contact,206,198,54,12,1,18,37,18,4,18
Hyper,br.com.dreerd.bank.hyper.entity,AccountTransation.AccountTransationBuilder,23,56,0,0,0,1,1,9,1,9
Hyper,br.com.dreerd.bank.hyper.entity,Address.AddressBuilder,34,105,0,0,0,1,1,16,1,16
Hyper,br.com.dreerd.bank.hyper.entity,Address,314,455,100,32,0,32,61,42,3,34
Hyper,br.com.dreerd.bank.hyper.entity,Account,260,125,60,2,0,29,34,21,3,21
Hyper,br.com.dreerd.bank.hyper.entity,AccountTransation,277,119,64,0,1,33,36,20,4,20
Hyper,br.com.dreerd.bank.hyper.entity,Person,418,213,87,5,1,35,50,27,4,27
Hyper,br.com.dreerd.bank.hyper.utility,DocumentCPF,20,135,4,8,6,23,5,9,1,7
Hyper,br.com.dreerd.bank.hyper.utility,DocumentCNPJ,21,237,6,12,5,22,7,10,1,7
Hyper,br.com.dreerd.bank.hyper.utility,Converter,0,52,0,0,0,14,0,8,0,8
Hyper,br.com.dreerd.bank.hyper.utility,GeneratorInformation,0,266,0,4,0,92,0,12,0,10
Hyper,br.com.dreerd.bank.hyper,HyperApplication,5,3,0,0,2,1,1,1,1,1
Hyper,br.com.dreerd.bank.hyper.model,MessageErrorDTO.MessageErrorDTOBuilder,65,0,0,0,1,0,9,0,9,0
Hyper,br.com.dreerd.bank.hyper.model,BankTransitionDTO,202,63,46,0,0,10,27,14,4,14
Hyper,br.com.dreerd.bank.hyper.model,BankTransitionDTO.BankTransitionDTOBuilder,17,42,0,0,0,1,1,7,1,7
Hyper,br.com.dreerd.bank.hyper.model,AccountDTO.AccountDTOBuilder,21,56,0,0,0,1,1,9,1,9
Hyper,br.com.dreerd.bank.hyper.model,PersonDTO,363,142,84,0,1,36,46,25,4,25
Hyper,br.com.dreerd.bank.hyper.model,PersonDTO.PersonDTOBuilder,29,77,0,0,0,1,1,12,1,12
Hyper,br.com.dreerd.bank.hyper.model,DocumentDTO,254,103,53,5,10,27,32,20,5,18
Hyper,br.com.dreerd.bank.hyper.model,DocumentDTO.DocumentDTOBuilder,28,39,0,0,0,1,3,6,3,6
Hyper,br.com.dreerd.bank.hyper.model,AccountTransationDTO.AccountTransationDTOBuilder,23,56,0,0,0,1,1,9,1,9
Hyper,br.com.dreerd.bank.hyper.model,AddressDTO,516,163,112,0,13,35,61,32,5,32
Hyper,br.com.dreerd.bank.hyper.model,MessageErrorDTO,330,56,55,1,17,15,41,10,13,10
Hyper,br.com.dreerd.bank.hyper.model,AccountDTO,275,87,60,0,6,21,35,18,5,18
Hyper,br.com.dreerd.bank.hyper.model,AccountTransationDTO,303,87,64,0,11,21,38,18,6,18
Hyper,br.com.dreerd.bank.hyper.model,ContactDTO,250,99,56,0,7,21,32,18,4,18
Hyper,br.com.dreerd.bank.hyper.model,AddressDTO.AddressDTOBuilder,34,105,0,0,0,1,1,16,1,16
Hyper,br.com.dreerd.bank.hyper.model,ContactDTO.ContactDTOBuilder,20,56,0,0,0,1,1,9,1,9
Hyper,br.com.dreerd.bank.hyper.exception,BusinessException,15,24,0,0,6,10,2,4,2,4
Hyper,br.com.dreerd.bank.hyper.exception,DocumentException,28,0,0,0,9,0,6,0,6,0
Hyper,br.com.dreerd.bank.hyper.config,GlobalExceptionHandler,13,46,0,6,2,13,1,5,1,2
